pais,_id,anio_aprobacion,sector_institucional,descripcion_proyecto,monto_bruto_usd,origen
Costa Rica,469,2010,Sector Público,Programa de Obras Estratégicas de Infraestructura Vial,85000000.0,prestamos_sector_publico
Guatemala,470,1976,Sector Público,Construcción del Tramo Final Calzada Roosevelt - Garita de Policía de la Ruta CA1,2800000.0,prestamos_sector_publico
Costa Rica,471,2017,Sector Público,Programa Integral de Seguridad y Conservación del Monumento Histórico Teatro Nacional de Costa Rica,31330000.0,prestamos_sector_publico
El Salvador,472,2020,Sector Público,Financiamiento Parcial Medidas Económicas Compensatorias Implementadas por Emergencia COVID-19,50000000.0,prestamos_sector_publico
Guatemala,473,1968,Sector Público,Construcción de la Carretera Padre Miguel - Anguiatú (CA12),1067000.0,prestamos_sector_publico
Guatemala,474,2001,Sector Público,Programa de Apoyo al Desarrollo de los Departamentos de Chimaltenango Sololá y Totonicapán,30000000.0,prestamos_sector_publico
Costa Rica,475,2011,Sector Público,Proyecto de Ampliación de la Planta Hidroeléctrica Cachí,140000000.0,prestamos_sector_publico
El Salvador,476,2007,Sector Público,Proyecto Central Hidroeléctrica El Chaparral,140000000.0,prestamos_sector_publico
El Salvador,477,2016,Sector Público,Programa de Generación de Energía Geotérmica en El Salvador,132647251.84,prestamos_sector_publico
Costa Rica,478,2001,Sector Público,Proyecto Centrales Telefónicas Siemens  Ampliación y Modernización del Sistema Nacional de Telecomunicaciones 20002001,13379300.0,prestamos_sector_publico
Costa Rica,479,2004,Sector Público,Incremento LGC - Banco de Costa Rica,90000000.0,prestamos_sector_publico
Honduras,480,1980,Sector Público,Ejecución de las obras de urbanización y construcción de viviendas en los proyectos contenidos en un listado,1000000.0,prestamos_sector_publico
El Salvador,481,2015,Sector Público,Proyecto Rehabilitación de la Planta Potabilizadora de las Pavas,64429814.0,prestamos_sector_publico
El Salvador,482,2019,Sector Público,Proyecto de Construcción  Equipamiento y Modernización de las Oficinas Centrales de la Fiscalía General de la República de El Salvador,25338586.48,prestamos_sector_publico
El Salvador,483,2018,Sector Público,Programa de Apoyo a la Agricultura Familiar para el Buen Vivir en El Salvador,100000000.0,prestamos_sector_publico
El Salvador,484,1993,Sector Público,Adquisición de Bienes y Servicios Necesarios para Ejecutar el Proyecto Plan Nacional de Señalamiento Vial en la República de El Salvador,10000000.0,prestamos_sector_publico
Costa Rica,485,2016,Sector Público,Programa de Agua Potable y Saneamiento de Zonas Costeras  Gestión de la Calidad y Eficiencia del Servicio,164120000.0,prestamos_sector_publico
Honduras,486,1970,Sector Público,Adquisición de Equipo Rodante y Equipo de Taller Mecánico,200000.0,prestamos_sector_publico
Honduras,487,1967,Sector Público,Financiar los Gastos de la Compra de Cuatro (4) Unidades Dieseleléctricas con una Capacidad Total Aproximada de 8000 Kw,1000000.0,prestamos_sector_publico
El Salvador,488,1996,Sector Público,Programa de Escuela Saludable II Etapa,20000000.0,prestamos_sector_publico
El Salvador,489,1994,Sector Público,Rehabilitación Central Hihroeléctrica 15 de Septiembre,10876000.0,prestamos_sector_publico
El Salvador,490,2007,Sector Público,Proyecto de Modernización del Registro Inmobiliario y del Catastro,55000000.0,prestamos_sector_publico
Honduras,491,2004,Sector Público,Proyecto Combate al Mal de Chagas Mediante el Mejoramiento de Vivienda,4000000.0,prestamos_sector_publico
Guatemala,492,1978,Sector Público,Financiar los Costos de las Investigaciones Geológicas en la Zona de los Proyectos Hidroeléctricos de Chulac y Xalalá Como Parte del Estudio de Factibilidad de Dichos Proyectos,2000000.0,prestamos_sector_publico
Honduras,493,1985,Sector Público,Completar el Proyecto Vial Tegucigalpa - Río del Hombre de la Carretera CA-5,350000.0,prestamos_sector_publico
Honduras,494,1978,Sector Público,Siembra y el Establecimiento de Plantaciones de Marañon en un Área de 7000 Hectáreas en el Departamento de Choluteca,2450000.0,prestamos_sector_publico
Guatemala,495,1981,Sector Público,Reconstrucción y Ampliación de la Red de Distribución Eléctrica de la Ciudad de Quezaltenango,2500000.0,prestamos_sector_publico
