_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional,socio
59,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,298978.79,cooperacion,Colombia,Cooperación Técnica,,Extraregional
60,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Argentina,Cooperación Técnica,,Extraregional
61,2021,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
62,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
63,2019,3.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,219000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
64,2015,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
65,2015,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,375000.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
66,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,317994.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
67,2012,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
68,2022,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,249338.11,cooperacion,Colombia,Cooperación Técnica,,Extraregional
69,2021,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Cooperación de Países Fundadores y Regionales no Fundadores,,Regional No Fundador
70,2022,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
71,2019,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1365310.8,cooperacion,Regional,Cooperación Técnica,,Desconocido
72,2015,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
73,2016,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
74,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,278400.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
75,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
76,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Colombia,Cooperación Técnica,,Extraregional
77,2021,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,813748.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
78,2022,1.0,,KTF,No Reembolsable,950000.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
79,2020,2.0,,Fondos Ordinarios,No Reembolsable,4400000.0,cooperacion,Regional,Ayuda de Emergencia y por Desastres Naturales,,Desconocido
80,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,100000.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
81,2016,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24990.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
82,2014,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,5500.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
83,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,15000.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
84,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99744.75,cooperacion,Colombia,Cooperación Técnica,,Extraregional
85,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1680000.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
86,2023,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,108675.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
87,2020,1.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,685000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
88,2015,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1598962.2,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
89,2019,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,802500.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
90,2015,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
91,2013,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,9000.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
92,2021,1.0,,KTF,No Reembolsable,630000.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
93,2023,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,400000.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
94,2020,10.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1930740.75,cooperacion,Regional,Cooperación Técnica,,Desconocido
95,2016,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
96,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
97,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,100000.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
98,2014,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
99,2022,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
100,2023,1.0,,Fondos Ordinarios,No Reembolsable,974037.02,cooperacion,Belice,Otras Cooperaciones Financieras,,Regional No Fundador
101,2020,3.0,,KTF,No Reembolsable,550000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
102,2016,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,101482.5,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
103,2020,3.0,,KTF,No Reembolsable,841666.66,cooperacion,El Salvador,Cooperación Técnica,,Fundador
104,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,990000.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
105,2015,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
106,2022,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1558750.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
107,2024,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
108,2021,2.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,765000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
109,2016,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,192500.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
110,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
111,2016,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
112,2015,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,113650.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
113,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,325500.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
114,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
115,2021,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,430000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
116,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
117,2021,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
118,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,40740.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
