pais,_id,anio_aprobacion,sector_institucional,monto_bruto_usd,cantidad_aprobaciones,origen
Honduras,206,1990,Sector Público,58900000.0,9,prestamos
Guatemala,207,1977,Sector Público,11800000.0,5,prestamos
Costa Rica,208,2004,Sector Público,147000000.0,3,prestamos
Guatemala,209,1982,Sector Privado,500000.0,1,prestamos
Costa Rica,210,2007,Sector Privado,505200000.0,23,prestamos
Costa Rica,211,2025,Sector Público,815000000.0,2,prestamos
Guatemala,212,2012,Sector Público,280000000.0,1,prestamos
Costa Rica,213,2022,Sector Público,1190000000.0,3,prestamos
El Salvador,214,2015,Sector Público,250521814.0,5,prestamos
Costa Rica,215,2017,Sector Público,214410000.0,3,prestamos
Guatemala,216,2003,Sector Público,52600000.0,2,prestamos
Costa Rica,217,2014,Sector Público,308000000.0,4,prestamos
El Salvador,218,1975,Sector Privado,3120000.0,4,prestamos
Guatemala,219,2008,Sector Privado,97894000.0,15,prestamos
Guatemala,220,1965,Sector Público,437000.0,1,prestamos
Guatemala,221,1981,Sector Público,19189000.0,4,prestamos
Honduras,222,2021,Sector Privado,2500000.0,1,prestamos
Honduras,223,1963,Sector Privado,3767400.0,7,prestamos
Guatemala,224,1969,Sector Público,5450000.0,3,prestamos
El Salvador,225,1978,Sector Público,24500000.0,1,prestamos
Costa Rica,226,1970,Sector Privado,2410000.0,5,prestamos
El Salvador,227,1993,Sector Privado,18290000.0,13,prestamos
Honduras,228,1967,Sector Privado,721300.0,4,prestamos
Guatemala,229,1994,Sector Público,46883400.0,3,prestamos
Costa Rica,230,2006,Sector Público,613265400.0,9,prestamos
El Salvador,231,1971,Sector Público,2600000.0,2,prestamos
Costa Rica,232,2005,Sector Privado,49089300.0,6,prestamos
Guatemala,233,1968,Sector Público,5767000.0,2,prestamos
Honduras,234,1999,Sector Privado,18848000.0,3,prestamos
El Salvador,235,2018,Sector Público,283500000.0,3,prestamos
El Salvador,236,1984,Sector Público,7600000.0,1,prestamos
Honduras,237,2013,Sector Público,103000000.0,4,prestamos
Honduras,238,1992,Sector Privado,14705167.0,14,prestamos
Nicaragua,239,1989,Sector Público,4650000.0,5,prestamos
Guatemala,240,1995,Sector Público,12000000.0,3,prestamos
Guatemala,241,2000,Sector Público,52500000.0,2,prestamos
Guatemala,242,2011,Sector Privado,64650000.0,4,prestamos
Honduras,243,1991,Sector Público,54100000.0,8,prestamos
Guatemala,244,1973,Sector Público,11361000.0,5,prestamos
Honduras,245,2024,Sector Público,476300000.0,3,prestamos
Nicaragua,246,1990,Sector Público,30000000.0,3,prestamos
Honduras,247,1977,Sector Privado,3328000.0,6,prestamos
Costa Rica,248,2019,Sector Público,640055000.0,2,prestamos
Guatemala,249,1982,Sector Público,36100000.0,3,prestamos
Costa Rica,250,2007,Sector Público,145000000.0,2,prestamos
El Salvador,251,1996,Sector Privado,54254000.0,18,prestamos
Honduras,252,2012,Sector Privado,24400000.0,1,prestamos
Cuba,253,2022,Sector Público,50000000.0,1,prestamos
Guatemala,254,2015,Sector Privado,10000000.0,1,prestamos
El Salvador,255,1964,Sector Privado,451500.0,3,prestamos
Honduras,256,2003,Sector Privado,129896660.0,17,prestamos
El Salvador,257,2002,Sector Privado,79080000.0,10,prestamos
El Salvador,258,1975,Sector Público,18320000.0,3,prestamos
Guatemala,259,2008,Sector Público,278000000.0,3,prestamos
Honduras,260,1965,Sector Privado,1630467.0,7,prestamos
Honduras,261,1981,Sector Privado,5952200.0,4,prestamos
Honduras,262,2021,Sector Público,717766365.18,6,prestamos
Honduras,263,1963,Sector Público,349500.0,2,prestamos
Honduras,264,1969,Sector Privado,2575300.0,11,prestamos
El Salvador,265,1980,Sector Privado,7480000.0,3,prestamos
Costa Rica,266,1970,Sector Público,3021100.0,1,prestamos
El Salvador,267,1993,Sector Público,61819000.0,4,prestamos
Honduras,268,1967,Sector Público,1175680.0,3,prestamos
Honduras,269,1994,Sector Privado,40951800.0,21,prestamos
El Salvador,270,1962,Sector Privado,1546000.0,4,prestamos
Guatemala,271,1971,Sector Privado,4033000.0,10,prestamos
Costa Rica,272,2005,Sector Público,416970508.18,7,prestamos
Honduras,273,1968,Sector Privado,804800.0,6,prestamos
Nicaragua,274,1999,Sector Privado,20500000.0,7,prestamos
El Salvador,275,2020,Sector Público,615200000.0,4,prestamos
Guatemala,276,1974,Sector Privado,4815000.0,6,prestamos
Nicaragua,277,2013,Sector Privado,3000000.0,1,prestamos
Honduras,278,1992,Sector Público,75072000.0,9,prestamos
Honduras,279,1995,Sector Privado,57755000.0,18,prestamos
Honduras,280,2000,Sector Privado,34431050.0,5,prestamos
Guatemala,281,2011,Sector Público,119400000.0,1,prestamos
Nicaragua,282,1991,Sector Público,67200000.0,5,prestamos
Honduras,283,1973,Sector Privado,6340800.0,10,prestamos
Nicaragua,284,2024,Sector Público,130000000.0,1,prestamos
Honduras,285,1977,Sector Público,16790000.0,8,prestamos
El Salvador,286,1966,Sector Privado,618400.0,4,prestamos
Honduras,287,1982,Sector Privado,500000.0,1,prestamos
El Salvador,288,2001,Sector Privado,12800000.0,14,prestamos
El Salvador,289,1996,Sector Público,132163530.0,7,prestamos
Honduras,290,2012,Sector Público,356337976.09000003,8,prestamos
El Salvador,291,1987,Sector Público,49800000.0,7,prestamos
Guatemala,292,2015,Sector Público,370000000.0,2,prestamos
El Salvador,293,1964,Sector Público,1271000.0,2,prestamos
Honduras,294,2003,Sector Público,62927243.47,5,prestamos
El Salvador,295,2002,Sector Público,32500000.0,2,prestamos
El Salvador,296,2009,Sector Privado,1000000.0,1,prestamos
Honduras,297,2008,Sector Privado,71900000.0,14,prestamos
Honduras,298,1965,Sector Público,1431090.0,8,prestamos
Honduras,299,1981,Sector Público,29969350.0,9,prestamos
Nicaragua,300,2021,Sector Privado,8000000.0,1,prestamos
Nicaragua,301,1963,Sector Privado,1044848.5700000001,6,prestamos
Honduras,302,1969,Sector Público,11377600.0,7,prestamos
El Salvador,303,1980,Sector Público,56237000.0,9,prestamos
Costa Rica,304,1972,Sector Privado,3365950.0,7,prestamos
El Salvador,305,2016,Sector Privado,2125000.0,1,prestamos
Nicaragua,306,1967,Sector Privado,5547300.0,8,prestamos
Honduras,307,1994,Sector Público,34765000.0,7,prestamos
El Salvador,308,1976,Sector Privado,2525000.0,7,prestamos
Guatemala,309,1971,Sector Público,8658000.0,4,prestamos
El Salvador,310,1979,Sector Privado,2416000.0,3,prestamos
Honduras,311,1968,Sector Público,10752000.0,7,prestamos
Guatemala,312,2018,Sector Público,193200000.0,1,prestamos
Guatemala,313,1974,Sector Público,10800000.0,5,prestamos
Nicaragua,314,2013,Sector Público,363545473.0,5,prestamos
Nicaragua,315,1992,Sector Privado,900000.0,3,prestamos
Honduras,316,1995,Sector Público,8000000.0,3,prestamos
Honduras,317,2000,Sector Público,1500000.0,1,prestamos
Honduras,318,2011,Sector Público,392236000.0,5,prestamos
Honduras,319,1973,Sector Público,12940000.0,4,prestamos
Panamá,320,2024,Sector Público,240000000.0,1,prestamos
Nicaragua,321,1977,Sector Privado,7800000.0,4,prestamos
El Salvador,322,1966,Sector Público,6040000.0,5,prestamos
Honduras,323,1982,Sector Público,40294000.0,6,prestamos
El Salvador,324,2001,Sector Público,217400000.0,3,prestamos
El Salvador,325,2025,Sector Público,350000000.0,3,prestamos
Nicaragua,326,2012,Sector Público,253044054.79,5,prestamos
El Salvador,327,2022,Sector Privado,60000000.0,1,prestamos
Honduras,328,2015,Sector Privado,46000000.0,2,prestamos
El Salvador,329,2017,Sector Privado,61306842.25,1,prestamos
Nicaragua,330,2003,Sector Privado,42905100.0,14,prestamos
El Salvador,331,2014,Sector Privado,14250000.0,3,prestamos
El Salvador,332,2009,Sector Público,293433870.0,2,prestamos
Honduras,333,2008,Sector Público,202006000.0,5,prestamos
Nicaragua,334,1965,Sector Privado,3942000.0,6,prestamos
Nicaragua,335,1981,Sector Privado,4400000.0,1,prestamos
Nicaragua,336,2021,Sector Público,804903013.99,7,prestamos
Nicaragua,337,1969,Sector Privado,1015356.0,8,prestamos
Guatemala,338,1978,Sector Privado,1700000.0,4,prestamos
Costa Rica,339,1972,Sector Público,13976200.0,8,prestamos
El Salvador,340,2016,Sector Público,383647251.84000003,4,prestamos
Nicaragua,341,1967,Sector Público,4291000.0,3,prestamos
Nicaragua,342,1994,Sector Privado,19003900.0,12,prestamos
El Salvador,343,1976,Sector Público,15300000.0,2,prestamos
Guatemala,344,1983,Sector Público,6900000.0,1,prestamos
El Salvador,345,1979,Sector Público,41850000.0,6,prestamos
Nicaragua,346,1968,Sector Privado,534714.0,3,prestamos
Guatemala,347,2020,Sector Privado,1500000.0,1,prestamos
Guatemala,348,1984,Sector Público,1200000.0,1,prestamos
Panamá,349,2013,Sector Privado,10000000.0,1,prestamos
Nicaragua,350,1992,Sector Público,63977012.0,9,prestamos
Nicaragua,351,1995,Sector Privado,7875000.0,4,prestamos
Nicaragua,352,2000,Sector Privado,15100000.0,6,prestamos
Nicaragua,353,2011,Sector Privado,72200000.0,2,prestamos
Nicaragua,354,1973,Sector Privado,1570671.0,7,prestamos
República Dominicana,355,2024,Sector Público,100000000.0,1,prestamos
Nicaragua,356,1977,Sector Público,20210000.0,8,prestamos
El Salvador,357,2004,Sector Privado,67500000.0,12,prestamos
Nicaragua,358,1982,Sector Público,19700000.0,4,prestamos
El Salvador,359,2007,Sector Privado,120215000.0,8,prestamos
Guatemala,360,1996,Sector Privado,75665700.0,23,prestamos
El Salvador,361,2022,Sector Público,836000000.0,5,prestamos
Honduras,362,2015,Sector Público,212300000.0,2,prestamos
El Salvador,363,2017,Sector Público,246000000.0,2,prestamos
Nicaragua,364,2003,Sector Público,21790000.0,4,prestamos
El Salvador,365,2014,Sector Público,296887500.0,5,prestamos
Guatemala,366,1975,Sector Privado,11110000.0,6,prestamos
Nicaragua,367,2008,Sector Privado,107150000.0,12,prestamos
Nicaragua,368,1965,Sector Público,2000000.0,1,prestamos
Nicaragua,369,1981,Sector Público,43250000.0,6,prestamos
Panamá,370,2021,Sector Privado,125000000.0,1,prestamos
Nicaragua,371,1969,Sector Público,5720537.0,7,prestamos
Guatemala,372,1978,Sector Público,48790000.0,8,prestamos
Costa Rica,373,2010,Sector Privado,35760000.0,9,prestamos
Guatemala,374,1993,Sector Privado,38556600.0,31,prestamos
Nicaragua,375,1994,Sector Público,75129872.0,9,prestamos
El Salvador,376,1998,Sector Privado,28900000.0,8,prestamos
Honduras,377,1971,Sector Privado,6223272.0,20,prestamos
El Salvador,378,1997,Sector Privado,55147400.0,15,prestamos
Nicaragua,379,1968,Sector Público,4000000.0,1,prestamos
Honduras,380,2018,Sector Privado,40000000.0,3,prestamos
Honduras,381,1974,Sector Privado,6857000.0,13,prestamos
República Dominicana,382,2013,Sector Público,80200000.0,1,prestamos
Nicaragua,383,1995,Sector Público,15600000.0,4,prestamos
Nicaragua,384,2011,Sector Público,90234985.0,5,prestamos
Nicaragua,385,1973,Sector Público,14255857.0,9,prestamos
El Salvador,386,2004,Sector Público,155625000.0,3,prestamos
El Salvador,387,2007,Sector Público,351500000.0,7,prestamos
Guatemala,388,1996,Sector Público,130971000.0,3,prestamos
Guatemala,389,1987,Sector Privado,1200000.0,1,prestamos
Nicaragua,390,2015,Sector Privado,40000000.0,1,prestamos
Guatemala,391,1964,Sector Privado,390000.0,2,prestamos
Guatemala,392,2002,Sector Privado,104054179.0,9,prestamos
Guatemala,393,1975,Sector Público,16140000.0,5,prestamos
Nicaragua,394,2008,Sector Público,161893879.0,4,prestamos
República Dominicana,395,2021,Sector Público,410000000.0,2,prestamos
Guatemala,396,1980,Sector Privado,8200000.0,3,prestamos
Costa Rica,397,2010,Sector Público,182693958.0,3,prestamos
Guatemala,398,1993,Sector Público,70800000.0,3,prestamos
El Salvador,399,1998,Sector Público,177771000.0,3,prestamos
Honduras,400,1971,Sector Público,3475000.0,5,prestamos
El Salvador,401,1997,Sector Público,106908000.0,3,prestamos
Honduras,402,2018,Sector Público,44262590.7,1,prestamos
Honduras,403,1974,Sector Público,16355000.0,11,prestamos
Panamá,404,2011,Sector Privado,25000000.0,1,prestamos
El Salvador,405,2019,Sector Privado,45000000.0,1,prestamos
Guatemala,406,2001,Sector Privado,29300000.0,3,prestamos
Guatemala,407,2025,Sector Privado,15000000.0,1,prestamos
Guatemala,408,1987,Sector Público,26620000.0,5,prestamos
Nicaragua,409,2015,Sector Público,156016547.10000002,4,prestamos
Guatemala,410,1964,Sector Público,20000.0,1,prestamos
Guatemala,411,2002,Sector Público,40467835.0,2,prestamos
Guatemala,412,2009,Sector Privado,2594200.0,4,prestamos
Panamá,413,2008,Sector Privado,30100000.0,1,prestamos
Guatemala,414,1980,Sector Público,33640000.0,8,prestamos
Costa Rica,415,2023,Sector Público,1000000000.0,3,prestamos
Guatemala,416,2016,Sector Público,300000000.0,1,prestamos
El Salvador,417,2006,Sector Privado,158210440.0,21,prestamos
Honduras,418,1983,Sector Público,7560000.0,3,prestamos
El Salvador,419,2005,Sector Privado,43850000.0,13,prestamos
Honduras,420,2020,Sector Privado,111718430.0,4,prestamos
