objectid	cod_depto	depto	cod_municipio	municipio	shape_Length	shape_Area	ISO	Pais	VARNAME_1	ENGTYPE_2	TYPE_2	NAME_1	DEPARTAMENTO	MUNICIPIOS	DEPTO_MUN	Columna1	Columna2	Índice	REGION
231	14	OCOTEPEQUE	1406	La Encarnación	0.315856754	0.00307632	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	LA ENCARNACION	OCOTEPEQUE,LA ENCARNACION			230	Occidental
232	14	OCOTEPEQUE	1408	Lucerna	0.783714154	0.009951288	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	LUCERNA	OCOTEPEQUE,LUCERNA			231	Occidental
233	14	OCOTEPEQUE	1410	San Fernando	0.348489649	0.004442792	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	SAN FERNANDO	OCOTEPEQUE,SAN FERNANDO			232	Occidental
234	3	COMAYAGUA	316	San Luis	0.426734133	0.010329998	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	SAN LUIS	COMAYAGUA,SAN LUIS			233	Centro Occidental
235	3	COMAYAGUA	317	San Sebastián	0.651674586	0.008140539	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	SAN SEBASTIAN	COMAYAGUA,SAN SEBASTIAN			234	Centro Occidental
236	3	COMAYAGUA	318	Siguatepeque	1.091088483	0.032921733	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	SIGUATEPEQUE	COMAYAGUA,SIGUATEPEQUE			235	Centro Occidental
237	3	COMAYAGUA	319	Villa de San Antonio	0.988407659	0.028685527	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	VILLA DE SAN ANTONIO	COMAYAGUA,VILLA DE SAN ANTONIO			236	Centro Occidental
238	3	COMAYAGUA	321	Taulabé	0.693945465	0.018443761	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	TAULABE	COMAYAGUA,TAULABE			237	Centro Occidental
239	4	COPAN	401	Santa Rosa de Copán	1.373981114	0.025712882	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SANTA ROSA DE COPAN	COPAN,SANTA ROSA DE COPAN			238	Occidental
243	10	INTIBUCA	1001	La Esperanza	0.55692414	0.011845065	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	LA ESPERANZA	INTIBUCA,LA ESPERANZA			242	Centro Occidental
244	10	INTIBUCA	1005	Dolores	0.359662095	0.006840809	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	DOLORES	INTIBUCA,DOLORES			243	Centro Occidental
245	10	INTIBUCA	1007	Jesús de Otoro	0.981280731	0.035163747	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	JESUS DE OTORO	INTIBUCA,JESUS DE OTORO			244	Centro Occidental
246	10	INTIBUCA	1009	Masaguara	0.862019607	0.021191283	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	MASAGUARA	INTIBUCA,MASAGUARA			245	Centro Occidental
247	10	INTIBUCA	1011	San Isidro	0.380871841	0.006658341	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	SAN ISIDRO	INTIBUCA,SAN ISIDRO			246	Centro Occidental
248	10	INTIBUCA	1012	San Juan	0.546059504	0.015031974	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	SAN JUAN	INTIBUCA,SAN JUAN			247	Centro Occidental
249	10	INTIBUCA	1013	San Marcos de La Sierra	0.533489169	0.011948372	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	SAN MARCOS DE LA SIERRA	INTIBUCA,SAN MARCOS DE LA SIERRA			248	Centro Occidental
250	10	INTIBUCA	1014	San Miguelito	0.678338253	0.013581048	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	SAN MIGUELITO	INTIBUCA,SAN MIGUELITO			249	Centro Occidental
251	10	INTIBUCA	1016	Yamaranguila	0.824842909	0.024979038	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	YAMARANGUILA	INTIBUCA,YAMARANGUILA			250	Centro Occidental
252	10	INTIBUCA	1017	San Francisco de Opalaca	0.903435325	0.024263336	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	SAN FRANCISCO DE OPALACA	INTIBUCA,SAN FRANCISCO DE OPALACA			251	Centro Occidental
253	12	LA PAZ	1204	Cane	0.368657087	0.003922119	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	CANE	LA PAZ,CANE			252	Centro Occidental
254	12	LA PAZ	1205	Chinacla	0.473742837	0.005288566	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	CHINACLA	LA PAZ,CHINACLA			253	Centro Occidental
255	12	LA PAZ	1206	Guajiquiro	0.84110163	0.02908557	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	GUAJIQUIRO	LA PAZ,GUAJIQUIRO			254	Centro Occidental
256	12	LA PAZ	1208	Marcala	0.988085406	0.018284971	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	MARCALA	LA PAZ,MARCALA			255	Centro Occidental
257	12	LA PAZ	1210	Opatoro	0.915008607	0.020204475	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	OPATORO	LA PAZ,OPATORO			256	Centro Occidental
258	12	LA PAZ	1212	San José	0.383748492	0.005515787	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	SAN JOSE	LA PAZ,SAN JOSE			257	Centro Occidental
259	12	LA PAZ	1214	San Pedro de Tutule	0.29612171	0.003980866	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	SAN PEDRO DE TUTULE	LA PAZ,SAN PEDRO DE TUTULE			258	Centro Occidental
260	12	LA PAZ	1217	Santa María	0.584830295	0.008738251	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	SANTA MARIA	LA PAZ,SANTA MARIA			259	Centro Occidental
261	12	LA PAZ	1218	Santiago de Puringla	0.608686389	0.011792091	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	SANTIAGO DE PURINGLA	LA PAZ,SANTIAGO DE PURINGLA			260	Centro Occidental
262	12	LA PAZ	1219	Yarula	0.632685851	0.007282916	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	YARULA	LA PAZ,YARULA			261	Centro Occidental
280	14	OCOTEPEQUE	1402	Belén Gualcho	0.524942291	0.013109606	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	BELEN GUALCHO	OCOTEPEQUE,BELEN GUALCHO			279	Occidental
281	16	SANTA BARBARA	1619	San Francisco de Ojuera	0.627983881	0.015025118	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	SAN FRANCISCO DE OJUERA	SANTA BARBARA,SAN FRANCISCO DE OJUERA			280	Noroccidental
282	16	SANTA BARBARA	1623	San Pedro Zacapa	0.659357241	0.016765208	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	SAN PEDRO ZACAPA	SANTA BARBARA,SAN PEDRO ZACAPA			281	Noroccidental
283	16	SANTA BARBARA	1624	Santa Rita	0.360880163	0.006883027	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	SANTA RITA	SANTA BARBARA,SANTA RITA			282	Noroccidental
284	10	INTIBUCA	1006	Intibucá	1.495524293	0.045811028	HND	Honduras		Municipality	Municipio	INTIBUCA	INTIBUCA	INTIBUCA	INTIBUCA,INTIBUCA			283	Centro Occidental
285	12	LA PAZ	1201	La Paz	0.941093638	0.019469896	HND	Honduras		Municipality	Municipio	LA PAZ	LA PAZ	LA PAZ	LA PAZ,LA PAZ			284	Centro Occidental
286	16	SANTA BARBARA	1601	Santa Bárbara	0.920292682	0.025294703	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	SANTA BARBARA	SANTA BARBARA,SANTA BARBARA			285	Noroccidental
287	16	SANTA BARBARA	1621	San Marcos	0.672301821	0.018498318	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	SAN MARCOS	SANTA BARBARA,SAN MARCOS			286	Noroccidental
288	16	SANTA BARBARA	1618	Quimistán	1.227186294	0.062397562	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	QUIMISTAN	SANTA BARBARA,QUIMISTAN			287	Noroccidental
290	15	OLANCHO	1513	La Unión	1.144528049	0.052030055	HND	Honduras		Municipality	Municipio	OLANCHO	OLANCHO	LA UNION	OLANCHO,LA UNION			289	Centro Oriental
291	1	ATLANTIDA	102	El Porvenir	0.916354862	0.023406653	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	EL PORVENIR	ATLANTIDA,EL PORVENIR			290	Nororiental
292	1	ATLANTIDA	101	La Ceiba	1.094087207	0.055248332	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	LA CEIBA	ATLANTIDA,LA CEIBA			291	Nororiental
293	9	GRACIAS A_DIOS	902	Brus Laguna	4.582102711	0.265681828	HND	Honduras		Municipality	Municipio	GRACIAS A DIOS	GRACIAS A DIOS	BRUS LAGUNA	GRACIAS A DIOS,BRUS LAGUNA			292	Nororiental
294	16	SANTA BARBARA	1613	Macuelizo	0.833518981	0.020816411	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	MACUELIZO	SANTA BARBARA,MACUELIZO			293	Noroccidental
295	16	SANTA BARBARA	1628	Nueva Frontera	0.480303998	0.01308263	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	NUEVA FRONTERA	SANTA BARBARA,NUEVA FRONTERA			294	Noroccidental
297	18	YORO	1807	Olanchito	2.985907914	0.170114657	HND	Honduras		Municipality	Municipio	VALLE	YORO	OLANCHITO	YORO,OLANCHITO			296	Noroccidental
298	16	SANTA BARBARA	1610	El Níspero	0.361132475	0.005859892	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	EL NISPERO	SANTA BARBARA,EL NISPERO			297	Noroccidental
299	16	SANTA BARBARA	1602	Arada	0.562989089	0.009349406	HND	Honduras		Municipality	Municipio	SANTA BARBARA	SANTA BARBARA	ARADA	SANTA BARBARA,ARADA			298	Noroccidental
27	5	CORTES	501	San Pedro Sula	1.608601874	0.072157329	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	SAN PEDRO SULA	CORTES,SAN PEDRO SULA			26	Noroccidental
28	5	CORTES	502	Choloma	1.062432484	0.039356959	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	CHOLOMA	CORTES,CHOLOMA			27	Noroccidental
29	5	CORTES	504	Pimienta	0.334439049	0.004665046	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	PIMIENTA	CORTES,PIMIENTA			28	Noroccidental
30	5	CORTES	505	Potrerillos	0.559586773	0.008367586	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	POTRERILLOS	CORTES,POTRERILLOS			29	Noroccidental
31	5	CORTES	507	San Antonio de Cortés	0.740474538	0.018597897	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	SAN ANTONIO DE CORTES	CORTES,SAN ANTONIO DE CORTES			30	Noroccidental
32	5	CORTES	508	San Francisco de Yojoa	0.452545306	0.00829498	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	SAN FRANCISCO DE YOJOA	CORTES,SAN FRANCISCO DE YOJOA			31	Noroccidental
33	5	CORTES	510	Santa Cruz de Yojoa	1.588644414	0.061645657	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	SANTA CRUZ DE YOJOA	CORTES,SANTA CRUZ DE YOJOA			32	Noroccidental
34	5	CORTES	512	La Lima	0.851229661	0.009456791	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	LA LIMA	CORTES,LA LIMA			33	Noroccidental
53	7	EL PARAISO	701	Yuscarán	0.859174426	0.027790025	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	YUSCARAN	EL PARAISO,YUSCARAN			52	Centro Oriental
54	7	EL PARAISO	702	Alauca	0.742202701	0.016523288	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	ALAUCA	EL PARAISO,ALAUCA			53	Centro Oriental
55	7	EL PARAISO	703	Danlí	2.233410299	0.210886647	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	DANLI	EL PARAISO,DANLI			54	Centro Oriental
56	7	EL PARAISO	704	El Paraíso	0.939428805	0.029801681	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	EL PARAISO	EL PARAISO,EL PARAISO			55	Centro Oriental
57	7	EL PARAISO	705	Guinope	0.760350072	0.016799699	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	GUINOPE	EL PARAISO,GUINOPE			56	Centro Oriental
58	7	EL PARAISO	706	Jacaleapa	0.625473527	0.009397486	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	JACALEAPA	EL PARAISO,JACALEAPA			57	Centro Oriental
59	7	EL PARAISO	707	Liure	0.407945267	0.007461969	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	LIURE	EL PARAISO,LIURE			58	Centro Oriental
60	7	EL PARAISO	708	Morocelí	1.049472371	0.030398312	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	MOROCELI	EL PARAISO,MOROCELI			59	Centro Oriental
61	7	EL PARAISO	709	Oropolí	0.596086517	0.014080555	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	OROPOLI	EL PARAISO,OROPOLI			60	Centro Oriental
62	7	EL PARAISO	710	Potrerillos	0.544021055	0.010923353	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	POTRERILLOS	EL PARAISO,POTRERILLOS			61	Centro Oriental
